epsilon,timestep,mse,cosine_similarity
0.0,0,0.2615152597427368,-0.08969452977180481
0.0,100,0.25531667470932007,-0.08391470462083817
0.0,200,0.24697941541671753,-0.06850320100784302
0.0,300,0.24580234289169312,-0.05058928206562996
0.0,400,0.2488037794828415,-0.0434255376458168
0.0,500,0.23481616377830505,0.011855676770210266
0.0,600,0.23838099837303162,0.0009967796504497528
0.0,700,0.22961851954460144,-0.012026828713715076
0.0,800,0.2384239137172699,0.03622666373848915
0.0,900,0.23930227756500244,-0.02149270288646221
0.02,0,0.03703496977686882,0.041460391134023666
0.02,100,0.032812949270009995,0.04182710126042366
0.02,200,0.028519613668322563,0.01546754501760006
0.02,300,0.02927837334573269,0.03523657098412514
0.02,400,0.03260895237326622,0.04476349800825119
0.02,500,0.027855081483721733,0.014201728627085686
0.02,600,0.029689889401197433,0.022884273901581764
0.02,700,0.019681811332702637,0.014298285357654095
0.02,800,0.036169905215501785,-0.007030957378447056
0.02,900,0.0278068408370018,0.007107995916157961
0.04,0,0.035807833075523376,0.07378111034631729
0.04,100,0.03230145573616028,0.04448933154344559
0.04,200,0.02794473245739937,0.019776908680796623
0.04,300,0.02867898717522621,0.04174036532640457
0.04,400,0.03288474678993225,0.012499300763010979
0.04,500,0.026488766074180603,0.05772187560796738
0.04,600,0.029281584545969963,0.019599929451942444
0.04,700,0.019451875239610672,-0.0018217302858829498
0.04,800,0.036127910017967224,-0.027252569794654846
0.04,900,0.027759244665503502,-0.015236018225550652
0.06,0,0.03493919223546982,-0.058359019458293915
0.06,100,0.03067636489868164,-0.06443405151367188
0.06,200,0.025389235466718674,-0.03722153976559639
0.06,300,0.02644050121307373,-0.021273888647556305
0.06,400,0.030152879655361176,-0.02922118455171585
0.06,500,0.02405712753534317,0.026879718527197838
0.06,600,0.026367684826254845,-0.0005402462556958199
0.06,700,0.016269396990537643,-0.022626511752605438
0.06,800,0.031874801963567734,0.025128718465566635
0.06,900,0.02393191307783127,0.01935362070798874
0.08,0,0.03459620848298073,-0.024007350206375122
0.08,100,0.030373912304639816,-0.031186489388346672
0.08,200,0.025082435458898544,-0.0011063581332564354
0.08,300,0.026059061288833618,0.020712940022349358
0.08,400,0.029989516362547874,-0.009174885228276253
0.08,500,0.024043118581175804,0.03289106860756874
0.08,600,0.026042809709906578,0.03544020652770996
