epsilon,timestep,mse,cosine_similarity
0.0,0,0.31210947036743164,-0.040153488516807556
0.0,100,0.3110940456390381,-0.03981391340494156
0.0,200,0.3071720004081726,-0.026131242513656616
0.0,300,0.3113114833831787,-0.017015133053064346
0.0,400,0.30060622096061707,0.013648723252117634
0.0,500,0.29314467310905457,0.02332642301917076
0.0,600,0.30979859828948975,-0.0007886430248618126
0.0,700,0.3015999495983124,-0.010686822235584259
0.0,800,0.28905612230300903,0.0005172835662961006
0.0,900,0.28586921095848083,0.029731452465057373
0.02,0,0.030430510640144348,-0.018522361293435097
0.02,100,0.029398158192634583,-0.005742352455854416
0.02,200,0.028104662895202637,-0.014807254076004028
0.02,300,0.03333311155438423,-0.0018077734857797623
0.02,400,0.028471065685153008,-0.026510223746299744
0.02,500,0.02178557589650154,4.64683398604393e-05
0.02,600,0.03539712354540825,-0.03754161670804024
0.02,700,0.025194279849529266,-0.010624527931213379
0.02,800,0.014062350615859032,0.023932412266731262
0.02,900,0.014612729661166668,-0.0036835456266999245
0.04,0,0.03614630922675133,-0.03744538128376007
0.04,100,0.03487657010555267,-0.022565294057130814
0.04,200,0.03374529257416725,-0.03387993574142456
0.04,300,0.03902032598853111,-0.02641974948346615
0.04,400,0.033772312104701996,-0.027066249400377274
0.04,500,0.027349181473255157,-0.02664852701127529
0.04,600,0.0417148694396019,-0.06539212167263031
0.04,700,0.03098943457007408,-0.03945346549153328
0.04,800,0.019290514290332794,-0.003116088919341564
0.04,900,0.019377391785383224,0.007791878655552864
0.06,0,0.028784072026610374,0.034354060888290405
0.06,100,0.02787117473781109,0.042072124779224396
0.06,200,0.0265619195997715,0.030950533226132393
0.06,300,0.03208160400390625,0.015998534858226776
0.06,400,0.027338441461324692,-0.03487956151366234
0.06,500,0.02094106934964657,-0.02993503212928772
0.06,600,0.034283652901649475,-0.05500480532646179
0.06,700,0.024168577045202255,-0.022435948252677917
0.06,800,0.013077322393655777,0.023258911445736885
0.06,900,0.013530774042010307,-0.004179777577519417
0.08,0,0.028607245534658432,0.0464182123541832
0.08,100,0.027696043252944946,0.05465797334909439
0.08,200,0.026209061965346336,0.06500691175460815
0.08,300,0.03167851269245148,0.05175540968775749
0.08,400,0.026661667972803116,0.03413446992635727
0.08,500,0.020420048385858536,0.027909735217690468
0.08,600,0.03346731886267662,0.020199108868837357
0.08,700,0.023729732260107994,0.020785652101039886
0.08,800,0.013062795624136925,0.010173630900681019
0.08,900,0.013389896601438522,0.0032432544976472855
0.1,0,0.028756562620401382,0.061111725866794586
0.1,100,0.027829227969050407,0.06934982538223267
0.1,200,0.02619343064725399,0.09228004515171051
0.1,300,0.03192507475614548,0.05546427518129349
0.1,400,0.027087097987532616,0.02632439322769642
0.1,500,0.02073550969362259,0.03354829177260399
0.1,600,0.03407818824052811,-0.00017869193106889725
0.1,700,0.024197585880756378,0.011745055206120014
0.1,800,0.013628343120217323,-0.011487104929983616
0.1,900,0.013401255011558533,0.05911319702863693
0.12,0,0.029879245907068253,0.03637838363647461
0.12,100,0.02893604338169098,0.043195851147174835
0.12,200,0.02768617868423462,0.03306768089532852
0.12,300,0.033217743039131165,0.022170821204781532
0.12,400,0.027985095977783203,0.02655567228794098
0.12,500,0.022389283403754234,-0.02602735348045826
0.12,600,0.034943386912345886,0.008810238912701607
0.12,700,0.02572835050523281,-0.02904568612575531
0.12,800,0.014449677430093288,0.010661311447620392
0.12,900,0.014894935302436352,-0.00471452297642827
0.14,0,0.029303651303052902,0.002600851934403181
0.14,100,0.02861316315829754,-0.012807116843760014
0.14,200,0.0270940363407135,-0.002761916257441044
