epsilon,timestep,mse,cosine_similarity
0.0,0,0.2969737648963928,-0.05243443325161934
0.0,100,0.294428288936615,-0.051726676523685455
0.0,200,0.29346132278442383,-0.047400325536727905
0.0,300,0.2951418161392212,-0.06504525989294052
0.0,400,0.2849624454975128,-0.01982302777469158
0.0,500,0.2958345413208008,-0.05193984508514404
0.0,600,0.29923343658447266,-0.06456287205219269
0.0,700,0.2849150598049164,-0.0378473624587059
0.0,800,0.2820550799369812,0.001851353095844388
0.0,900,0.2757968008518219,0.009878873825073242
0.02,0,0.07938721030950546,-0.040821678936481476
0.02,100,0.07681103050708771,-0.03504631668329239
0.02,200,0.07852659374475479,-0.06565806269645691
0.02,300,0.07654206454753876,-0.0473129078745842
0.02,400,0.07118674367666245,-0.01943683996796608
0.02,500,0.07866573333740234,-0.04428659379482269
0.02,600,0.07798314094543457,-0.015942715108394623
0.02,700,0.06900961697101593,-0.018622927367687225
0.02,800,0.07021106779575348,-0.004407082684338093
0.02,900,0.06482720375061035,-0.007192879915237427
0.04,0,0.024719422683119774,-0.0413551889359951
0.04,100,0.022662987932562828,-0.043628424406051636
0.04,200,0.022397708147764206,-0.045347124338150024
0.04,300,0.022235997021198273,-0.09258691966533661
0.04,400,0.01797613315284252,-0.0267507191747427
0.04,500,0.023919513449072838,-0.0500706322491169
0.04,600,0.024933651089668274,-0.0330720916390419
0.04,700,0.01587563008069992,-0.024316154420375824
0.04,800,0.017734035849571228,-0.01330561749637127
0.04,900,0.012288040481507778,-0.018713822588324547
0.06,0,0.023455288261175156,0.030009493231773376
0.06,100,0.02146758884191513,0.02502700686454773
0.06,200,0.02125127986073494,0.019158005714416504
0.06,300,0.0209323912858963,-0.017807796597480774
0.06,400,0.016740713268518448,0.05775352567434311
0.06,500,0.02303348481655121,-0.011462527327239513
0.06,600,0.02377822808921337,0.029425811022520065
0.06,700,0.01503171306103468,0.023776432499289513
0.06,800,0.017246711999177933,-0.003857715055346489
0.06,900,0.011855988763272762,-0.014317850582301617
0.08,0,0.023639893159270287,0.03929273784160614
0.08,100,0.021722545847296715,0.029645761474967003
0.08,200,0.02161971852183342,0.015049795620143414
0.08,300,0.021031051874160767,0.00426144152879715
0.08,400,0.017648061737418175,-0.0002635885030031204
0.08,500,0.023134492337703705,0.008748847059905529
0.08,600,0.024485327303409576,-0.0017432235181331635
