epsilon,timestep,mse,cosine_similarity
0.0,0,0.2340691089630127,0.023511730134487152
0.0,100,0.23390363156795502,0.017690107226371765
0.0,200,0.2336803525686264,0.01683577336370945
0.0,300,0.23082533478736877,0.044743578881025314
0.0,400,0.23219987750053406,0.020037317648530006
0.0,500,0.23357844352722168,0.014289183542132378
0.0,600,0.2405465841293335,-0.01115469541400671
0.0,700,0.2458263486623764,-0.0514422282576561
0.0,800,0.2582263946533203,-0.024248763918876648
0.0,900,0.2453787922859192,-0.0038025102112442255
0.02,0,0.04369822144508362,0.027546634897589684
0.02,100,0.04285372048616409,0.02948782593011856
0.02,200,0.04214353486895561,0.04033993184566498
0.02,300,0.04306168481707573,0.007640564814209938
0.02,400,0.041565895080566406,0.02184734120965004
0.02,500,0.04408789798617363,-0.023397333920001984
0.02,600,0.04820822924375534,-0.013018595054745674
0.02,700,0.04864223301410675,-0.008152849972248077
0.02,800,0.06326334923505783,-0.009700370021164417
0.02,900,0.054443359375,-0.023822078481316566
0.04,0,0.016376810148358345,0.012630432844161987
0.04,100,0.015687189996242523,0.004972522612661123
0.04,200,0.015099659562110901,0.022334221750497818
0.04,300,0.01493899431079626,0.014465726912021637
0.04,400,0.01433731522411108,-0.015570132993161678
0.04,500,0.014973501674830914,0.006135573610663414
0.04,600,0.019294729456305504,0.009265493601560593
0.04,700,0.019831135869026184,0.014652601443231106
0.04,800,0.03353200852870941,0.03706835210323334
0.04,900,0.025059830397367477,-0.001194056123495102
0.06,0,0.01802910678088665,-0.07170605659484863
0.06,100,0.017262093722820282,-0.07743007689714432
0.06,200,0.017369156703352928,-0.10757609456777573
0.06,300,0.016557376831769943,-0.07366666197776794
0.06,400,0.015388485044240952,-0.0679711103439331
0.06,500,0.015265384688973427,0.006731808185577393
0.06,600,0.019592128694057465,0.009342577308416367
0.06,700,0.019698046147823334,0.03792034834623337
0.06,800,0.03383305296301842,0.036176200956106186
0.06,900,0.024845009669661522,0.023102767765522003
0.08,0,0.011794696561992168,-0.002346751745790243
0.08,100,0.010985516011714935,-0.003000612836331129
0.08,200,0.01062969770282507,0.0013809502124786377
0.08,300,0.010364552959799767,-0.001409841701388359
0.08,400,0.009423991665244102,-0.018654119223356247
0.08,500,0.010264427401125431,0.0009552226401865482
0.08,600,0.014631837606430054,0.005038010887801647
0.08,700,0.015051212161779404,0.03788387030363083
0.08,800,0.029592156410217285,0.009177752770483494
0.08,900,0.020434997975826263,-0.02528524026274681
0.1,0,0.013893388211727142,-0.017199959605932236
0.1,100,0.01303369551897049,-0.013336211442947388
0.1,200,0.0124398497864604,0.01193292997777462
0.1,300,0.012439149431884289,-0.015469130128622055
0.1,400,0.011238123290240765,0.001743244007229805
0.1,500,0.01210247352719307,0.00915744062513113
0.1,600,0.016684453934431076,-0.00776780117303133
0.1,700,0.016582919284701347,0.05159367248415947
0.1,800,0.031573839485645294,0.0016517164185643196
0.1,900,0.02240622602403164,-0.01655210740864277
0.12,0,0.014722874388098717,-0.02546112798154354
0.12,100,0.013846381567418575,-0.020991060882806778
0.12,200,0.013446523807942867,-0.015445765107870102
0.12,300,0.012977424077689648,0.0009054979309439659
0.12,400,0.012079699896275997,-0.01109444722533226
0.12,500,0.01279277540743351,0.009476464241743088
0.12,600,0.01702834665775299,0.01945061795413494
0.12,700,0.01740128919482231,0.037837572395801544
0.12,800,0.03132878988981247,0.04953702539205551
0.12,900,0.022846644744277,0.0016020163893699646
0.14,0,0.013419981114566326,-0.04920439049601555
0.14,100,0.012595178559422493,-0.049714379012584686
0.14,200,0.012278558686375618,-0.05226777493953705
0.14,300,0.011709983460605145,-0.019564541056752205
0.14,400,0.010611101984977722,-0.011940723285079002
0.14,500,0.011425457894802094,0.0033160075545310974
0.14,600,0.01584954373538494,-7.883645594120026e-05
0.14,700,0.01636582985520363,0.0112898088991642
0.14,800,0.030987460166215897,-0.008395250886678696
0.14,900,0.021566515788435936,-0.011424609459936619
0.16,0,0.01733493059873581,-0.026523012667894363
0.16,100,0.016553200781345367,-0.0295289047062397
0.16,200,0.0161680206656456,-0.0265127494931221
0.16,300,0.015760663896799088,-0.018435310572385788
0.16,400,0.01474219560623169,-0.020145529881119728
0.16,500,0.015362977981567383,0.0022193435579538345
0.16,600,0.019887711852788925,-0.005348391365259886
0.16,700,0.020080432295799255,0.01878606528043747
0.16,800,0.0349857360124588,-0.006963072344660759
0.16,900,0.025492891669273376,-0.005809827707707882
0.18,0,0.0175948403775692,-0.03396265581250191
0.18,100,0.01655671000480652,-0.020877277478575706
0.18,200,0.016494426876306534,-0.038700807839632034
0.18,300,0.016020411625504494,-0.026508573442697525
0.18,400,0.015219333581626415,-0.04381818696856499
0.18,500,0.01593710295855999,-0.026904942467808723
0.18,600,0.0201650969684124,-0.013132821768522263
0.18,700,0.02000136859714985,0.029963860288262367
0.18,800,0.035034798085689545,-0.0036667194217443466
0.18,900,0.02541215345263481,0.004172624554485083
0.2,0,0.01534796878695488,-0.020320197567343712
0.2,100,0.014539295807480812,-0.02139354683458805
0.2,200,0.014577294699847698,-0.05098334699869156
0.2,300,0.013951259665191174,-0.02398090809583664
0.2,400,0.012402611784636974,0.018858851864933968
0.2,500,0.013772333972156048,-0.01672082208096981
0.2,600,0.017708662897348404,0.016730409115552902
0.2,700,0.017492149025201797,0.07198340445756912
0.2,800,0.03182213753461838,0.05319885164499283
0.2,900,0.023563440889120102,-0.00147702032700181
0.22,0,0.015337526798248291,0.0049993619322776794
0.22,100,0.014306170865893364,0.02157645858824253
0.22,200,0.014015838503837585,0.018789207562804222
0.22,300,0.014122098684310913,-0.010746433399617672
0.22,400,0.012700885534286499,0.020758965983986855
0.22,500,0.013789117336273193,0.00822674110531807
0.22,600,0.01793806254863739,0.02256261557340622
0.22,700,0.017789650708436966,0.07127592712640762
0.22,800,0.032240621745586395,0.047236692160367966
0.22,900,0.02399265579879284,-0.006767885759472847
0.24,0,0.01572125405073166,-0.039481695741415024
0.24,100,0.014822414144873619,-0.03437867388129234
0.24,200,0.014382362365722656,-0.026498552411794662
0.24,300,0.013921406120061874,-0.012577379122376442
0.24,400,0.013039501383900642,-0.02550438605248928
0.24,500,0.013746436685323715,-0.005677979439496994
0.24,600,0.017923040315508842,0.009654729627072811
0.24,700,0.018154539167881012,0.03550911694765091
0.24,800,0.032942574471235275,0.006407193839550018
0.24,900,0.023728929460048676,-0.004530557431280613
0.26,0,0.016197314485907555,-0.02840239927172661
0.26,100,0.015268865041434765,-0.021176431328058243
0.26,200,0.014810668304562569,-0.012304048053920269
0.26,300,0.014645370654761791,-0.02098475582897663
0.26,400,0.013558483682572842,-0.017557695508003235
0.26,500,0.01429989468306303,-0.0019040647894144058
0.26,600,0.018949199467897415,-0.017220813781023026
0.26,700,0.018645029515028,0.03973415493965149
0.26,800,0.03302682191133499,0.027949946001172066
0.26,900,0.02426670305430889,-0.001041640993207693
0.28,0,0.014951474964618683,-0.00510849105194211
0.28,100,0.014041945338249207,0.002441380638629198
0.28,200,0.013720940798521042,0.0016143713146448135
0.28,300,0.013611065223813057,-0.012362195178866386
0.28,400,0.012489555403590202,-0.004907236434519291
0.28,500,0.012928629294037819,0.036704592406749725
0.28,600,0.01758936420083046,0.012200028635561466
