epsilon,timestep,mse,cosine_similarity
0.0,0,0.06654277443885803,-0.015772273764014244
0.0,100,0.06599671393632889,-0.02656472474336624
0.0,200,0.06381289660930634,-0.021913208067417145
0.0,300,0.05850069969892502,0.01715932972729206
0.0,400,0.06751813739538193,0.013317053206264973
0.0,500,0.06888282299041748,-0.008754778653383255
0.0,600,0.06626065075397491,-0.03250918537378311
0.0,700,0.07207689434289932,0.014798678457736969
0.0,800,0.061678074300289154,0.038160864263772964
0.0,900,0.0582316629588604,0.00982908345758915
0.02,0,0.08405455201864243,0.04805072396993637
0.02,100,0.08218003809452057,0.059055622667074203
0.02,200,0.08136262744665146,0.047258954495191574
0.02,300,0.08006735146045685,0.022538602352142334
0.02,400,0.08961406350135803,0.011054228991270065
0.02,500,0.08779128640890121,0.03281321004033089
0.02,600,0.08380266278982162,0.03583653271198273
0.02,700,0.09718318283557892,-0.022056182846426964
0.02,800,0.08377328515052795,0.031353771686553955
0.02,900,0.07818542420864105,0.04260531812906265
0.04,0,0.04245896637439728,0.06701214611530304
0.04,100,0.04103335365653038,0.07477741688489914
0.04,200,0.03959554806351662,0.0687633603811264
0.04,300,0.038677878677845,0.01689266413450241
0.04,400,0.048241835087537766,0.0016846749931573868
0.04,500,0.04656531661748886,0.03477799519896507
0.04,600,0.04389241337776184,0.008110099472105503
0.04,700,0.053447574377059937,-0.007162650115787983
0.04,800,0.04249293729662895,0.03153825178742409
0.04,900,0.037031643092632294,0.04349835216999054
0.06,0,0.06182217597961426,0.02567240595817566
0.06,100,0.060671087354421616,0.026141643524169922
0.06,200,0.059171222150325775,0.02122483029961586
0.06,300,0.056655850261449814,0.010447345674037933
0.06,400,0.0654749721288681,0.01108459010720253
0.06,500,0.06513412296772003,0.01519305445253849
0.06,600,0.061542823910713196,0.009725506417453289
0.06,700,0.07426290214061737,-0.04778125137090683
0.06,800,0.06130879372358322,0.007298826240003109
0.06,900,0.054230332374572754,0.04624483361840248
0.08,0,0.03599828481674194,0.06996544450521469
0.08,100,0.03457195684313774,0.07890377938747406
0.08,200,0.03279467672109604,0.08085478842258453
0.08,300,0.031129907816648483,0.04250308871269226
0.08,400,0.040289487689733505,0.029780112206935883
0.08,500,0.03866766020655632,0.06760984659194946
0.08,600,0.03702455013990402,0.010963555425405502
0.08,700,0.047473978251218796,-0.027335964143276215
0.08,800,0.035880934447050095,0.03174985572695732
0.08,900,0.030537012964487076,0.04128763824701309
0.1,0,0.03649745136499405,0.041848309338092804
0.1,100,0.03524497151374817,0.04538524150848389
0.1,200,0.03388303145766258,0.03381001204252243
0.1,300,0.030712440609931946,0.03722730651497841
0.1,400,0.03998919576406479,0.022597992792725563
0.1,500,0.038477446883916855,0.05836040899157524
0.1,600,0.03594331443309784,0.024016980081796646
0.1,700,0.04669051989912987,-0.023892581462860107
0.1,800,0.035005535930395126,0.03963270038366318
0.1,900,0.029662562534213066,0.050509195774793625
0.12,0,0.06096521019935608,0.0685613751411438
0.12,100,0.059631552547216415,0.0733070969581604
0.12,200,0.05893726274371147,0.05664580315351486
0.12,300,0.05819345638155937,0.015407001599669456
0.12,400,0.06738386303186417,0.009271237999200821
0.12,500,0.0655222237110138,0.03665280342102051
0.12,600,0.060622215270996094,0.05533910542726517
0.12,700,0.07179762423038483,0.013143721036612988
0.12,800,0.06046779081225395,0.05204717814922333
0.12,900,0.05536879599094391,0.058449890464544296
0.14,0,0.02733873389661312,0.039348892867565155
0.14,100,0.026335693895816803,0.03350787237286568
0.14,200,0.024172108620405197,0.0494157038629055
0.14,300,0.021713480353355408,0.019444208592176437
0.14,400,0.03101898729801178,0.0034087379463016987
0.14,500,0.029991045594215393,0.04045404866337776
0.14,600,0.026354100555181503,0.02903219684958458
0.14,700,0.03653949499130249,-0.024526529014110565
0.14,800,0.02577531337738037,0.03791250288486481
0.14,900,0.020691564306616783,0.037976063787937164
0.16,0,0.02907424233853817,0.03970636799931526
0.16,100,0.027900710701942444,0.041111648082733154
0.16,200,0.026647716760635376,0.019702162593603134
0.16,300,0.023706374689936638,0.011805882677435875
0.16,400,0.03241737186908722,0.01925233006477356
0.16,500,0.03255763649940491,0.011661705560982227
0.16,600,0.02831830084323883,0.022075332701206207
0.16,700,0.03756563365459442,0.004908756352961063
0.16,800,0.02795717492699623,0.021586738526821136
0.16,900,0.022459693253040314,0.038070689886808395
0.18,0,0.03078511916100979,0.0426856204867363
0.18,100,0.0293419249355793,0.05335415154695511
0.18,200,0.026456160470843315,0.09322726726531982
0.18,300,0.02498994767665863,0.03549688309431076
0.18,400,0.03393126651644707,0.02993253991007805
0.18,500,0.03445117920637131,0.011213989928364754
0.18,600,0.030066832900047302,0.025656849145889282
0.18,700,0.03929396718740463,0.009768092073500156
0.18,800,0.029556214809417725,0.03043220564723015
0.18,900,0.023768728598952293,0.05878095328807831
0.2,0,0.024717655032873154,0.03615200147032738
0.2,100,0.023591849952936172,0.03489776700735092
0.2,200,0.021650251001119614,0.04236581176519394
0.2,300,0.01926719956099987,-0.004615440033376217
0.2,400,0.0282517708837986,-0.003018441842868924
0.2,500,0.02782098762691021,0.015160569921135902
0.2,600,0.02405776083469391,0.003547600470483303
0.2,700,0.033516500145196915,-0.027332313358783722
0.2,800,0.02347628027200699,0.015155002474784851
0.2,900,0.018319925293326378,0.014326383359730244
0.22,0,0.038428813219070435,0.06262180209159851
0.22,100,0.037086814641952515,0.06880906224250793
0.22,200,0.03512457013130188,0.07525595277547836
0.22,300,0.034333862364292145,0.013904672116041183
0.22,400,0.042240630835294724,0.03608768805861473
0.22,500,0.043659236282110214,0.0016632955521345139
0.22,600,0.03755659610033035,0.05491907522082329
0.22,700,0.0496504120528698,-0.022962918505072594
0.22,800,0.03690385818481445,0.0623849593102932
0.22,900,0.03262367844581604,0.04521876946091652
0.24,0,0.02448330633342266,0.025306260213255882
0.24,100,0.023370398208498955,0.022817302495241165
0.24,200,0.02162601612508297,0.017598934471607208
0.24,300,0.018227914348244667,0.035353731364011765
