epsilon,timestep,mse,cosine_similarity
0.0,0,0.04180341586470604,0.05154132843017578
0.0,100,0.04099195450544357,0.05822357162833214
0.0,200,0.03653917834162712,0.05833391472697258
0.0,300,0.03565988689661026,0.008951201103627682
0.0,400,0.033951468765735626,0.007820770144462585
0.0,500,0.03208662569522858,0.035797201097011566
0.0,600,0.031675875186920166,-0.010354209691286087
0.0,700,0.03140316158533096,0.003166056703776121
0.0,800,0.03463166207075119,0.041753530502319336
0.0,900,0.030047178268432617,-0.020104920491576195
0.02,0,0.030405554920434952,0.054461147636175156
0.02,100,0.02993706986308098,0.05220385640859604
0.02,200,0.025256117805838585,0.05692168325185776
0.02,300,0.022911831736564636,0.04057818651199341
0.02,400,0.020367659628391266,0.07980233430862427
0.02,500,0.020526360720396042,0.027782753109931946
0.02,600,0.01879594661295414,0.02184085175395012
0.02,700,0.01877535693347454,0.029847968369722366
0.02,800,0.02339113876223564,0.02584216557443142
0.02,900,0.018117863684892654,-0.04498334974050522
0.04,0,0.02602231316268444,0.065274678170681
0.04,100,0.025498714298009872,0.06466329097747803
0.04,200,0.020471958443522453,0.09221458435058594
0.04,300,0.018256520852446556,0.057865213602781296
0.04,400,0.016945963725447655,0.02779867872595787
0.04,500,0.01640256866812706,-0.0034865355119109154
0.04,600,0.01452714204788208,-0.004594194237142801
0.04,700,0.014464905485510826,0.011617688462138176
0.04,800,0.019479187205433846,-0.016776226460933685
0.04,900,0.013079697266221046,-0.043287552893161774
0.06,0,0.02822047844529152,0.0299255158752203
0.06,100,0.02745330147445202,0.040486834943294525
0.06,200,0.022743474692106247,0.044900692999362946
0.06,300,0.019832128658890724,0.05382226034998894
0.06,400,0.01827038638293743,0.0449286624789238
0.06,500,0.01719159260392189,0.053625911474227905
0.06,600,0.016297094523906708,-0.00853416882455349
0.06,700,0.015842018648982048,0.030835818499326706
0.06,800,0.02078176848590374,0.008647831156849861
0.06,900,0.01467385794967413,-0.02743007242679596
0.08,0,0.02825649082660675,0.0578787662088871
0.08,100,0.02721712365746498,0.07989110797643661
0.08,200,0.02296820841729641,0.06665267050266266
