epsilon,timestep,mse,cosine_similarity
0.0,0,0.11833471059799194,0.05301830172538757
0.0,100,0.12053608149290085,0.0455017052590847
0.0,200,0.11706927418708801,0.03545023873448372
0.0,300,0.12303203344345093,0.03676383197307587
0.0,400,0.11982270330190659,0.015773216262459755
0.0,500,0.12203729152679443,0.004769207909703255
0.0,600,0.10354804992675781,0.00542824249714613
0.0,700,0.10808702558279037,0.027832195162773132
0.0,800,0.10233908891677856,0.024027112871408463
0.0,900,0.10351930558681488,-0.012434110976755619
0.02,0,0.05780613422393799,0.09081859886646271
0.02,100,0.058978043496608734,0.09345823526382446
0.02,200,0.05599874258041382,0.06813022494316101
0.02,300,0.06257544457912445,0.060724228620529175
0.02,400,0.05914471670985222,0.026283470913767815
0.02,500,0.05856417119503021,0.05211685597896576
0.02,600,0.041032105684280396,0.05103185027837753
0.02,700,0.04739744961261749,0.04770944267511368
0.02,800,0.04228746145963669,0.025210276246070862
0.02,900,0.04115453362464905,0.01702702045440674
0.04,0,0.04431673139333725,0.1134415939450264
0.04,100,0.04570276290178299,0.11278128623962402
0.04,200,0.04109189659357071,0.11397188156843185
0.04,300,0.04798473045229912,0.09495829045772552
0.04,400,0.043829113245010376,0.06314277648925781
0.04,500,0.04685617610812187,0.01516415923833847
0.04,600,0.029695242643356323,-0.027959834784269333
0.04,700,0.03455352783203125,0.02753724530339241
0.04,800,0.029282664880156517,-0.00702391192317009
0.04,900,0.02709878236055374,0.017105290666222572
0.06,0,0.045124344527721405,0.06452061980962753
0.06,100,0.04643019288778305,0.06682996451854706
0.06,200,0.041643932461738586,0.06876075267791748
0.06,300,0.0487159788608551,0.04889073222875595
0.06,400,0.04414103552699089,0.0213940292596817
0.06,500,0.04494207724928856,0.02677171677350998
0.06,600,0.027269147336483,0.004959706217050552
0.06,700,0.03351977467536926,0.015190370380878448
0.06,800,0.026882342994213104,0.02604159153997898
0.06,900,0.02598409727215767,0.0037961232010275126
0.08,0,0.05113930627703667,0.09113994240760803
0.08,100,0.05138690397143364,0.11143817752599716
0.08,200,0.04726655036211014,0.10422225296497345
0.08,300,0.05594443529844284,0.055797871202230453
0.08,400,0.052727244794368744,0.00994984433054924
0.08,500,0.05241556465625763,0.035434357821941376
0.08,600,0.035237155854701996,0.011918090283870697
0.08,700,0.04091864824295044,0.03192790597677231
0.08,800,0.034535687416791916,0.036827221512794495
0.08,900,0.03377966582775116,0.01647794246673584
0.1,0,0.051133230328559875,0.08597273379564285
0.1,100,0.052312225103378296,0.08938377350568771
0.1,200,0.047168485820293427,0.1006765142083168
0.1,300,0.055430129170417786,0.05975361168384552
0.1,400,0.04927852749824524,0.07125242054462433
0.1,500,0.051794540137052536,0.04151719808578491
0.1,600,0.03546096011996269,-0.0034757526591420174
0.1,700,0.04120504856109619,0.017688825726509094
0.1,800,0.03436368331313133,0.03292778134346008
0.1,900,0.03348773345351219,0.01576484553515911
0.12,0,0.0494389608502388,0.08103103190660477
0.12,100,0.050320666283369064,0.09067001938819885
0.12,200,0.0454740934073925,0.09611736983060837
0.12,300,0.053801726549863815,0.05233742296695709
0.12,400,0.04932519048452377,0.02881321869790554
0.12,500,0.049197982996702194,0.05204023793339729
0.12,600,0.03221327066421509,0.02774646133184433
0.12,700,0.03947257995605469,0.006732426583766937
0.12,800,0.03309781849384308,0.006674935109913349
0.12,900,0.03165841102600098,0.004801136441528797
0.14,0,0.049471668899059296,0.07425516843795776
0.14,100,0.05126315355300903,0.06615706533193588
0.14,200,0.046240389347076416,0.07355466485023499
0.14,300,0.05306219682097435,0.06052635982632637
0.14,400,0.04802347347140312,0.04920531436800957
0.14,500,0.049741506576538086,0.034223705530166626
0.14,600,0.03272980824112892,0.0017668843502178788
0.14,700,0.038195401430130005,0.03071502223610878
0.14,800,0.031713079661130905,0.03832603245973587
0.14,900,0.03132344409823418,0.004568720236420631
0.16,0,0.04558201879262924,0.10123758018016815
0.16,100,0.0471976101398468,0.0957639068365097
0.16,200,0.04234904795885086,0.101500004529953
0.16,300,0.04972974583506584,0.07344191521406174
0.16,400,0.04467958211898804,0.061787694692611694
0.16,500,0.047538429498672485,0.019161801785230637
0.16,600,0.029510054737329483,0.008737712167203426
0.16,700,0.03515460342168808,0.03450707346200943
0.16,800,0.02901073358952999,0.031695473939180374
0.16,900,0.02895466797053814,-0.017785821110010147
0.18,0,0.045000120997428894,0.045220401138067245
0.18,100,0.04691341519355774,0.03288585692644119
0.18,200,0.04192037880420685,0.037771180272102356
0.18,300,0.049945395439863205,-0.0033949604257941246
0.18,400,0.04357532784342766,0.010924759320914745
0.18,500,0.0454227551817894,-0.010630776174366474
0.18,600,0.0262315534055233,0.006750656291842461
0.18,700,0.03281502425670624,0.006413567811250687
0.18,800,0.02732841670513153,-0.02814304828643799
0.18,900,0.02466578781604767,0.016924353316426277
0.2,0,0.04919050633907318,0.08261275291442871
0.2,100,0.050852756947278976,0.07692386209964752
0.2,200,0.045607518404722214,0.08978313952684402
0.2,300,0.05305467173457146,0.06332644075155258
0.2,400,0.0480191707611084,0.0522451214492321
0.2,500,0.04951047897338867,0.041945930570364
0.2,600,0.03225916624069214,0.020667459815740585
0.2,700,0.03866875544190407,0.022372182458639145
0.2,800,0.03147520124912262,0.049921803176403046
0.2,900,0.031983498483896255,-0.011592778377234936
0.22,0,0.047427669167518616,0.05402709171175957
0.22,100,0.048591144382953644,0.05939897149801254
0.22,200,0.04481932148337364,0.037052351981401443
0.22,300,0.05105549097061157,0.03905438631772995
0.22,400,0.045802608132362366,0.029064670205116272
0.22,500,0.04665916785597801,0.03260134160518646
0.22,600,0.028026506304740906,0.04892679676413536
0.22,700,0.034050315618515015,0.057712532579898834
0.22,800,0.0285080224275589,0.0387287512421608
0.22,900,0.028816353529691696,-0.023912016302347183
0.24,0,0.04597622901201248,0.05377965420484543
0.24,100,0.047382455319166183,0.053877487778663635
0.24,200,0.04246755689382553,0.05816110968589783
0.24,300,0.049138300120830536,0.04869011789560318
0.24,400,0.04531003534793854,0.003184650093317032
0.24,500,0.0460914671421051,0.009209836833178997
0.24,600,0.02787708304822445,-0.0007121004164218903
0.24,700,0.03410888835787773,0.010792635381221771
0.24,800,0.02666386030614376,0.04975240305066109
0.24,900,0.026305221021175385,0.008747444488108158
0.26,0,0.04803219065070152,0.06641329824924469
0.26,100,0.049446117132902145,0.06598470360040665
0.26,200,0.04364873096346855,0.0910361036658287
0.26,300,0.05231279134750366,0.03804785758256912
0.26,400,0.045487117022275925,0.06372782588005066
0.26,500,0.04789107292890549,0.03248658776283264
0.26,600,0.029442941769957542,0.04272102192044258
0.26,700,0.03736850619316101,-0.00015017110854387283
0.26,800,0.029909586533904076,0.03347695991396904
0.26,900,0.02900800108909607,0.014525900594890118
0.28,0,0.04358203709125519,0.07052329927682877
0.28,100,0.04485572502017021,0.07379090040922165
0.28,200,0.040778763592243195,0.056553203612565994
0.28,300,0.04761580750346184,0.042645715177059174
0.28,400,0.042566221207380295,0.025289032608270645
0.28,500,0.04469017684459686,-0.004394296556711197
0.28,600,0.02613740786910057,-0.008736196905374527
0.28,700,0.03146320581436157,0.035155415534973145
0.28,800,0.025646477937698364,0.0180107019841671
0.28,900,0.02539806067943573,-0.03314250335097313
