epsilon,timestep,mse,cosine_similarity
0.0,0,0.020131096243858337,0.002579794265329838
0.0,100,0.01617562025785446,-0.0036981571465730667
0.0,200,0.01247604750096798,0.018045824021100998
0.0,300,0.011183461174368858,-0.024665120989084244
0.0,400,0.010254673659801483,-0.015204748138785362
0.0,500,0.01669946312904358,0.0249777901917696
0.0,600,0.014641348272562027,0.013447346165776253
0.0,700,0.014067563228309155,0.010755697265267372
0.0,800,0.012287258170545101,0.019155696034431458
0.0,900,0.016449816524982452,-0.012292176485061646
0.02,0,0.019543198868632317,0.0025600455701351166
0.02,100,0.015622670762240887,-0.008441627025604248
0.02,200,0.011889669112861156,0.02024463564157486
0.02,300,0.010867834091186523,-0.06508012115955353
0.02,400,0.009699663147330284,-0.02291003428399563
0.02,500,0.01608407124876976,0.031364258378744125
0.02,600,0.013816645368933678,0.04103149473667145
0.02,700,0.013646623119711876,-0.006744319573044777
0.02,800,0.011856688186526299,0.0026526087895035744
0.02,900,0.015747861936688423,-0.003031007945537567
0.04,0,0.018048536032438278,0.10514836013317108
0.04,100,0.014239855110645294,0.09066068381071091
0.04,200,0.011197919957339764,0.03835276514291763
0.04,300,0.009483938105404377,0.04645047336816788
0.04,400,0.008845368400216103,0.014335942454636097
0.04,500,0.015885207802057266,-0.012094028294086456
0.04,600,0.013813215307891369,-0.03110703080892563
0.04,700,0.012964179739356041,0.0023690639063715935
0.04,800,0.011335683986544609,-0.009494148194789886
0.04,900,0.015320686623454094,-0.026866137981414795
0.06,0,0.01842474192380905,0.0424884557723999
0.06,100,0.014528877101838589,0.02881910838186741
0.06,200,0.011108002625405788,0.022832684218883514
0.06,300,0.00941751804202795,0.025708943605422974
0.06,400,0.008643719367682934,0.014618506655097008
0.06,500,0.015292448922991753,0.04065380245447159
0.06,600,0.013384605757892132,-0.0010871496051549911
0.06,700,0.012845583260059357,-0.011492150835692883
0.06,800,0.010886585339903831,0.030107297003269196
0.06,900,0.014720289036631584,0.026565156877040863
0.08,0,0.018254028633236885,0.023748205974698067
0.08,100,0.014327988028526306,0.0071294186636805534
0.08,200,0.0106565672904253,0.049866996705532074
0.08,300,0.009203195571899414,-0.00181858753785491
0.08,400,0.008298865519464016,0.01490016095340252
0.08,500,0.015037158504128456,0.03373873233795166
0.08,600,0.012863601557910442,0.030602525919675827
0.08,700,0.012417402118444443,-0.001475643366575241
0.08,800,0.01079211663454771,-0.020029153674840927
0.08,900,0.014381933026015759,0.030503805726766586
0.1,0,0.01850590668618679,0.08924033492803574
0.1,100,0.014876438304781914,0.058076225221157074
0.1,200,0.011382746510207653,0.06841613352298737
0.1,300,0.010138001292943954,0.01443958654999733
0.1,400,0.00919756293296814,0.029878541827201843
0.1,500,0.015867820009589195,0.04189206659793854
0.1,600,0.013592186383903027,0.053668539971113205
0.1,700,0.013241998851299286,0.025247057899832726
0.1,800,0.011549141258001328,0.0253802090883255
0.1,900,0.015269326977431774,0.03450838848948479
0.12,0,0.01863403618335724,0.013631774112582207
0.12,100,0.014671772718429565,0.005583243444561958
0.12,200,0.011318209581077099,-0.015542778186500072
0.12,300,0.009480894543230534,0.010999535210430622
0.12,400,0.008375279605388641,0.06370306760072708
0.12,500,0.015195032581686974,0.05247066542506218
0.12,600,0.013417117297649384,-0.00881482195109129
0.12,700,0.012628334574401379,0.02003384940326214
0.12,800,0.011071781627833843,-0.004251506179571152
0.12,900,0.014736123383045197,0.02198794111609459
0.14,0,0.018612589687108994,0.04135150462388992
0.14,100,0.014646036550402641,0.038783248513936996
0.14,200,0.01107276976108551,0.05830633267760277
0.14,300,0.009845398366451263,-0.011434704065322876
0.14,400,0.008529990911483765,0.07015622407197952
0.14,500,0.015452987514436245,0.043502695858478546
0.14,600,0.013276058249175549,0.04358109086751938
0.14,700,0.012985131703317165,0.0007007597014307976
0.14,800,0.011091561987996101,0.028822317719459534
0.14,900,0.015073764137923717,0.006237968802452087
0.16,0,0.01808961294591427,0.047190114855766296
0.16,100,0.014104686677455902,0.04470335319638252
0.16,200,0.010690747760236263,0.035740312188863754
0.16,300,0.009264874272048473,-0.0263131782412529
0.16,400,0.00848248042166233,-0.04241086170077324
0.16,500,0.015309329144656658,-0.024354450404644012
0.16,600,0.013149700127542019,-0.03553697466850281
0.16,700,0.012400064617395401,-0.005459574982523918
0.16,800,0.0106998011469841,-0.0076675377786159515
0.16,900,0.014673611149191856,-0.032979175448417664
0.18,0,0.02236502431333065,0.057635996490716934
0.18,100,0.018717365339398384,0.04383508488535881
0.18,200,0.015955325216054916,0.0034546982496976852
0.18,300,0.014340522699058056,-0.0013398416340351105
0.18,400,0.01316861342638731,0.023691274225711823
0.18,500,0.020061848685145378,0.015556920319795609
0.18,600,0.018036965280771255,0.006237296387553215
0.18,700,0.01744793727993965,0.0054036639630794525
0.18,800,0.015287645161151886,0.03570392727851868
0.18,900,0.019672080874443054,-0.00020686816424131393
0.2,0,0.01980459690093994,0.05175008997321129
0.2,100,0.015837594866752625,0.05357452481985092
0.2,200,0.012906894087791443,0.008842536248266697
0.2,300,0.011132573708891869,0.018894139677286148
0.2,400,0.00984264723956585,0.06973707675933838
0.2,500,0.01711302623152733,0.017963360995054245
0.2,600,0.014761782251298428,0.0324249342083931
0.2,700,0.014365549199283123,0.014497421681880951
0.2,800,0.01293118204921484,-0.010836616158485413
0.2,900,0.016678152605891228,-0.0015604039654135704
0.22,0,0.018313679844141006,0.05629592388868332
0.22,100,0.014379728585481644,0.05000317096710205
0.22,200,0.011113423854112625,0.021273262798786163
0.22,300,0.009328724816441536,0.04133046418428421
0.22,400,0.008412132039666176,0.05864013731479645
0.22,500,0.015436267480254173,0.01983332261443138
0.22,600,0.013076583854854107,0.04548552259802818
0.22,700,0.012770051136612892,-0.0003084009513258934
0.22,800,0.011040943674743176,0.0032673547975718975
0.22,900,0.014965884387493134,-0.00951691996306181
0.24,0,0.01837867498397827,0.04553297907114029
0.24,100,0.014419636689126492,0.04128209501504898
0.24,200,0.011134175583720207,0.013938949443399906
0.24,300,0.009532017633318901,-0.00047053489834070206
0.24,400,0.008755562826991081,-0.012609712779521942
0.24,500,0.015689801424741745,-0.019679196178913116
0.24,600,0.01335751824080944,-0.0012761903926730156
0.24,700,0.012679293751716614,0.010326952673494816
0.24,800,0.010870370082557201,0.0285552516579628
0.24,900,0.014908654615283012,-0.004776852671056986
0.26,0,0.018757514655590057,0.021691996604204178
0.26,100,0.014787513762712479,0.01678682491183281
0.26,200,0.011267207562923431,0.025032227858901024
0.26,300,0.009606395848095417,0.02311260998249054
0.26,400,0.008795125409960747,0.019609253853559494
0.26,500,0.015436227433383465,0.042437441647052765
0.26,600,0.01321331225335598,0.04874059930443764
0.26,700,0.012858214788138866,0.014467800036072731
0.26,800,0.011262418702244759,-0.0015561599284410477
0.26,900,0.01476122997701168,0.04325699806213379
0.28,0,0.017811499536037445,0.10614998638629913
0.28,100,0.014083786867558956,0.0686631128191948
