epsilon,timestep,mse,cosine_similarity
0.0,0,0.48730334639549255,-0.07153835147619247
0.0,100,0.48354801535606384,-0.06572671979665756
0.0,200,0.47866448760032654,-0.06640888005495071
0.0,300,0.47316083312034607,-0.05378522351384163
0.0,400,0.4654991030693054,-0.03601469099521637
0.0,500,0.45824331045150757,-0.02391917258501053
0.0,600,0.46998319029808044,-0.00331084243953228
0.0,700,0.4600125551223755,0.04080428555607796
0.0,800,0.45019692182540894,0.04033700376749039
0.0,900,0.4549216628074646,0.0018788212910294533
0.02,0,0.09535297006368637,0.03723667562007904
0.02,100,0.0931563675403595,0.041683219373226166
0.02,200,0.0893014520406723,0.0425558015704155
0.02,300,0.08859042823314667,0.02582969143986702
0.02,400,0.08587365597486496,0.019120216369628906
0.02,500,0.08160794526338577,0.019710518419742584
0.02,600,0.09960569441318512,-0.01563337817788124
0.02,700,0.10167686641216278,-0.029241085052490234
0.02,800,0.08603763580322266,0.014150639995932579
0.02,900,0.08762066066265106,-0.04774438217282295
0.04,0,0.046857800334692,0.0018008677288889885
0.04,100,0.04447483271360397,0.01396928634494543
0.04,200,0.040936678647994995,0.002111721783876419
0.04,300,0.03953469172120094,-0.020389877259731293
0.04,400,0.03518105298280716,0.006924226880073547
0.04,500,0.03146390616893768,-0.013778443448245525
0.04,600,0.04786163568496704,-0.03918485343456268
0.04,700,0.04892223700881004,-0.04554351046681404
0.04,800,0.036190636456012726,-0.029306285083293915
0.04,900,0.03346504271030426,-0.03624308109283447
0.06,0,0.056670449674129486,-0.03458733856678009
0.06,100,0.05521063134074211,-0.04389341175556183
0.06,200,0.05096827447414398,-0.042479321360588074
0.06,300,0.04730207473039627,-0.013283678330481052
0.06,400,0.04495367407798767,-0.03789370879530907
0.06,500,0.03916822001338005,-0.005909685045480728
0.06,600,0.05432351678609848,-0.0036353054456412792
0.06,700,0.05707245692610741,-0.04064489156007767
0.06,800,0.04366233944892883,-0.013227148912847042
0.06,900,0.0403568297624588,-0.00355593953281641
0.08,0,0.034906454384326935,0.04792269319295883
0.08,100,0.03287753462791443,0.05904238671064377
0.08,200,0.029007112607359886,0.05147434026002884
0.08,300,0.026888616383075714,0.04514118656516075
0.08,400,0.023709028959274292,0.032389234751462936
0.08,500,0.0191449336707592,0.05363670736551285
0.08,600,0.034607112407684326,0.021166833117604256
0.08,700,0.035458799451589584,0.01573079451918602
0.08,800,0.023722108453512192,0.012970289215445518
0.08,900,0.021194536238908768,-0.017589416354894638
0.1,0,0.035129256546497345,0.027923911809921265
0.1,100,0.033311109989881516,0.023643864318728447
0.1,200,0.029119407758116722,0.03789215907454491
0.1,300,0.026969116181135178,0.0332917720079422
0.1,400,0.023476582020521164,0.04601043090224266
0.1,500,0.01929798722267151,0.0325576588511467
0.1,600,0.03426000103354454,0.04026993364095688
0.1,700,0.035520315170288086,0.0060881320387125015
0.1,800,0.02425096556544304,-0.039296314120292664
0.1,900,0.020600080490112305,0.02899800054728985
0.12,0,0.03424440324306488,0.10821355879306793
0.12,100,0.03236187621951103,0.11093372851610184
0.12,200,0.02830895408987999,0.12033940106630325
0.12,300,0.026409652084112167,0.10275059938430786
0.12,400,0.023545749485492706,0.07261922955513
0.12,500,0.01917324960231781,0.08071199059486389
0.12,600,0.03393155336380005,0.08595921844244003
0.12,700,0.03612607717514038,-0.00028756260871887207
0.12,800,0.023480957373976707,0.061378151178359985
0.12,900,0.021726083010435104,-0.023712150752544403
0.14,0,0.03750194236636162,-0.096317820250988
0.14,100,0.0356346033513546,-0.1005023866891861
0.14,200,0.031401604413986206,-0.09346967190504074
0.14,300,0.029135137796401978,-0.09469179064035416
0.14,400,0.025727760046720505,-0.09885375201702118
0.14,500,0.020888935774564743,-0.07092227041721344
0.14,600,0.036140263080596924,-0.055919282138347626
0.14,700,0.036263786256313324,-0.015129257924854755
0.14,800,0.02456672117114067,-0.027652723714709282
0.14,900,0.021032823249697685,0.023904766887426376
0.16,0,0.034703146666288376,0.015787571668624878
0.16,100,0.03300650417804718,-0.002045014873147011
0.16,200,0.02877872809767723,0.018208656460046768
0.16,300,0.026401055976748466,0.03481152653694153
0.16,400,0.023258177563548088,0.011335905641317368
0.16,500,0.018894236534833908,0.011240962892770767
0.16,600,0.033459585160017014,0.06684812903404236
0.16,700,0.03430533781647682,0.059551969170570374
0.16,800,0.023011302575469017,0.014351965859532356
0.16,900,0.02009754441678524,0.019658129662275314
0.18,0,0.03526895120739937,0.04210072010755539
0.18,100,0.03365497291088104,0.025894809514284134
0.18,200,0.02906094491481781,0.06607554852962494
0.18,300,0.027120471000671387,0.04857832193374634
0.18,400,0.023885183036327362,0.04175373911857605
0.18,500,0.019925251603126526,0.011545100249350071
0.18,600,0.03441281616687775,0.05238747596740723
0.18,700,0.036306265741586685,-0.016945213079452515
0.18,800,0.024525176733732224,-0.023484116420149803
0.18,900,0.02141742967069149,-0.006511466111987829
0.2,0,0.03456462174654007,0.03202077001333237
0.2,100,0.03266622871160507,0.03379274904727936
0.2,200,0.02845066599547863,0.0547913983464241
0.2,300,0.026385560631752014,0.04031094163656235
0.2,400,0.02354671061038971,-0.015692662447690964
0.2,500,0.01853417232632637,0.06103123724460602
0.2,600,0.0335746705532074,0.05889615789055824
0.2,700,0.03472644090652466,0.024385608732700348
0.2,800,0.02324729785323143,-0.0070524499751627445
0.2,900,0.020428046584129333,-0.014639408327639103
0.22,0,0.035043634474277496,0.03805885091423988
0.22,100,0.03338204324245453,0.023247357457876205
0.22,200,0.02919939160346985,0.03649899363517761
0.22,300,0.02678881213068962,0.05225878581404686
0.22,400,0.023927291855216026,0.013401764445006847
0.22,500,0.019724391400814056,-0.0010784920305013657
0.22,600,0.03475215286016464,0.010572658851742744
0.22,700,0.03502997010946274,0.044180333614349365
0.22,800,0.02387203834950924,-0.0004384135827422142
0.22,900,0.020628314465284348,0.03236226737499237
0.24,0,0.03543943911790848,0.024933261796832085
0.24,100,0.03356373310089111,0.02476932294666767
0.24,200,0.029462497681379318,0.03168201074004173
0.24,300,0.027048468589782715,0.04656989127397537
0.24,400,0.02401059865951538,0.023837199434638023
0.24,500,0.019672749564051628,0.023331638425588608
0.24,600,0.03433353453874588,0.05139916017651558
0.24,700,0.03562435507774353,0.01806804910302162
0.24,800,0.02422121725976467,-0.009925569407641888
0.24,900,0.020613979548215866,0.050656091421842575
0.26,0,0.03542478382587433,0.04681456461548805
0.26,100,0.03353332728147507,0.04830096289515495
0.26,200,0.029447665438055992,0.05535948649048805
0.26,300,0.026456115767359734,0.10797145962715149
0.26,400,0.024523891508579254,0.014119300059974194
0.26,500,0.020011574029922485,0.026540696620941162
0.26,600,0.03444983437657356,0.06338921189308167
0.26,700,0.03552529215812683,0.04542350023984909
0.26,800,0.024068977683782578,0.030793678015470505
0.26,900,0.02133483812212944,0.02200309932231903
0.28,0,0.03506951779127121,0.09071002900600433
0.28,100,0.033385083079338074,0.08262056112289429
0.28,200,0.02934395894408226,0.08913986384868622
0.28,300,0.02728046476840973,0.08330507576465607
0.28,400,0.024301663041114807,0.06474585831165314
0.28,500,0.020428700372576714,0.03716609999537468
0.28,600,0.03512372821569443,0.05301828682422638
0.28,700,0.03685561567544937,0.003798951394855976
0.28,800,0.024790823459625244,0.02044372633099556
0.28,900,0.0216243676841259,0.041283734142780304
