epsilon,timestep,mse,cosine_similarity
0.0,0,0.037729423493146896,4.5297667384147644e-05
0.0,100,0.03513586148619652,0.010333538986742496
0.0,200,0.035519521683454514,-0.012412880547344685
0.0,300,0.035403989255428314,-0.0034415805712342262
0.0,400,0.03262491151690483,0.01975548081099987
0.0,500,0.03499682620167732,0.0014822790399193764
0.0,600,0.03427427262067795,-0.011347202584147453
0.0,700,0.037209488451480865,-0.03498044237494469
0.0,800,0.03467440605163574,-0.011544439941644669
0.0,900,0.033135414123535156,0.007286439649760723
0.02,0,0.022400489076972008,0.08130183815956116
0.02,100,0.020439118146896362,0.07619000971317291
0.02,200,0.02020440250635147,0.07268677651882172
0.02,300,0.021569237112998962,0.01724141091108322
0.02,400,0.019308511167764664,0.02707734704017639
0.02,500,0.020985335111618042,0.032878972589969635
0.02,600,0.020120233297348022,0.023143945261836052
0.02,700,0.02296733856201172,-0.011464767158031464
0.02,800,0.021348996087908745,-0.017903566360473633
0.02,900,0.02020067349076271,-0.010511541739106178
0.04,0,0.01893704943358898,0.012378855608403683
0.04,100,0.01652669534087181,0.02253924123942852
0.04,200,0.01609535701572895,0.028603950515389442
0.04,300,0.01600973680615425,0.04371596872806549
0.04,400,0.014528078958392143,0.005973111838102341
0.04,500,0.016599543392658234,-0.007624385878443718
0.04,600,0.0153755322098732,-0.0002565926406532526
0.04,700,0.018113629892468452,-0.036710187792778015
0.04,800,0.01563997007906437,0.007591099012643099
0.04,900,0.014539352618157864,0.01606208086013794
0.06,0,0.015224721282720566,0.009444947354495525
0.06,100,0.013035038486123085,0.003637317568063736
0.06,200,0.012447591871023178,0.026899319142103195
0.06,300,0.012765216641128063,0.012670185416936874
0.06,400,0.010793682187795639,-0.0003857836127281189
0.06,500,0.012610852718353271,0.0037502236664295197
0.06,600,0.011411860585212708,0.013404857367277145
0.06,700,0.01392432115972042,-0.02327902242541313
0.06,800,0.011851991526782513,0.007912814617156982
0.06,900,0.010851926170289516,0.010189703665673733
