epsilon,timestep,mse,cosine_similarity
0.0,0,0.0537966787815094,0.013033216819167137
0.0,100,0.05025877803564072,0.022133953869342804
0.0,200,0.053608402609825134,0.018275298178195953
0.0,300,0.055885836482048035,-0.0015545301139354706
0.0,400,0.05881030485033989,-0.014264477416872978
0.0,500,0.056262463331222534,0.023135991767048836
0.0,600,0.05112261325120926,0.02897533029317856
0.0,700,0.040914278477430344,-0.0009984211064875126
0.0,800,0.03802204132080078,0.0010622600093483925
0.0,900,0.03553780913352966,-0.0037069879472255707
0.02,0,0.04811997711658478,0.05361194908618927
0.02,100,0.04527986794710159,0.047738343477249146
0.02,200,0.04816668853163719,0.0539301373064518
0.02,300,0.05093362182378769,0.017562098801136017
0.02,400,0.053752198815345764,0.004409066401422024
0.02,500,0.05230364948511124,0.02255125343799591
0.02,600,0.04746881127357483,0.021332167088985443
0.02,700,0.036636173725128174,0.002175981178879738
0.02,800,0.033285848796367645,0.01978720724582672
0.02,900,0.03078300878405571,0.01583337038755417
0.04,0,0.044356416910886765,0.020828429609537125
0.04,100,0.04101058840751648,0.029439348727464676
0.04,200,0.04417898505926132,0.0297740176320076
0.04,300,0.046463556587696075,-0.005819616839289665
0.04,400,0.0486232154071331,-0.0008649947121739388
0.04,500,0.04737021028995514,0.0190371535718441
0.04,600,0.04281402379274368,0.005568206310272217
0.04,700,0.031389519572257996,-0.0008536288514733315
0.04,800,0.028592705726623535,-0.001772439107298851
0.04,900,0.025678230449557304,0.011706057004630566
0.06,0,0.04509854316711426,0.02055349014699459
0.06,100,0.04183679074048996,0.025506295263767242
0.06,200,0.04480516165494919,0.032802801579236984
0.06,300,0.04715275764465332,-0.0022036805748939514
0.06,400,0.04848925396800041,0.029576510190963745
0.06,500,0.04789569601416588,0.02609911933541298
0.06,600,0.043750714510679245,-0.0003716312348842621
0.06,700,0.03110882267355919,0.044311098754405975
0.06,800,0.029154926538467407,0.008216051384806633
0.06,900,0.02709636650979519,-0.01946016028523445
0.08,0,0.0441959910094738,0.03270822390913963
0.08,100,0.04091137647628784,0.039307985454797745
0.08,200,0.04433165118098259,0.029928363859653473
0.08,300,0.04675205051898956,-0.009920877404510975
0.08,400,0.04815138131380081,0.02190988138318062
0.08,500,0.047462742775678635,0.021514518186450005
0.08,600,0.04270263761281967,0.016192864626646042
0.08,700,0.030801352113485336,0.03354645147919655
0.08,800,0.028863608837127686,-0.006445121951401234
0.08,900,0.026017073541879654,0.0030541401356458664
0.1,0,0.04431634396314621,0.06988834589719772
0.1,100,0.04134684428572655,0.06677860021591187
0.1,200,0.04396657273173332,0.08306895196437836
0.1,300,0.04665334150195122,0.038888368755578995
0.1,400,0.04928216338157654,0.027498986572027206
0.1,500,0.0483052097260952,0.03619325906038284
0.1,600,0.04443984851241112,0.0030501345172524452
0.1,700,0.03134848177433014,0.06306292116641998
0.1,800,0.029896453022956848,0.00974976271390915
0.1,900,0.027334194630384445,0.006394592113792896
0.12,0,0.04417604207992554,0.014104576781392097
0.12,100,0.0406329371035099,0.030880488455295563
0.12,200,0.04374496638774872,0.03344395384192467
0.12,300,0.0462014377117157,-0.010480735450983047
0.12,400,0.04752819985151291,0.026202823966741562
0.12,500,0.0471242293715477,0.01499079167842865
0.12,600,0.04229602962732315,0.011568183079361916
0.12,700,0.03082343004643917,0.008291478268802166
0.12,800,0.028630098327994347,-0.022897353395819664
0.12,900,0.025764962658286095,-0.01271817833185196
0.14,0,0.04330082982778549,0.045549631118774414
0.14,100,0.04017043113708496,0.046700358390808105
0.14,200,0.043142132461071014,0.05425160378217697
0.14,300,0.044638972729444504,0.047057412564754486
0.14,400,0.04742811247706413,0.02691168338060379
0.14,500,0.04664165899157524,0.030269570648670197
0.14,600,0.04237055405974388,0.005014622118324041
0.14,700,0.03066536784172058,0.011738275177776814
0.14,800,0.027560226619243622,0.027369245886802673
0.14,900,0.025363609194755554,0.0041758473962545395
0.16,0,0.04304679483175278,0.0373280793428421
0.16,100,0.04006670415401459,0.031385697424411774
0.16,200,0.04312349855899811,0.03662540018558502
0.16,300,0.04414263367652893,0.049343694001436234
0.16,400,0.04648233577609062,0.046132806688547134
0.16,500,0.046109817922115326,0.032780520617961884
0.16,600,0.041000910103321075,0.04239611327648163
0.16,700,0.029804280027747154,0.03018255904316902
0.16,800,0.027512788772583008,0.0028960183262825012
0.16,900,0.025281287729740143,-0.0215824693441391
0.18,0,0.045080654323101044,0.04104359447956085
0.18,100,0.04178483784198761,0.04776296019554138
0.18,200,0.04502410814166069,0.04484545812010765
0.18,300,0.04750271886587143,0.0074226148426532745
0.18,400,0.049610476940870285,0.013017307966947556
0.18,500,0.04827745258808136,0.03292126953601837
0.18,600,0.04446081444621086,-0.0024994530249387026
0.18,700,0.03181643784046173,0.03929366171360016
0.18,800,0.02918989583849907,0.03356380760669708
