epsilon,timestep,mse,cosine_similarity
0.0,0,0.2356710135936737,0.024933626875281334
0.0,100,0.23646363615989685,0.02226962521672249
0.0,200,0.23374521732330322,0.038142137229442596
0.0,300,0.23741194605827332,0.02344319596886635
0.0,400,0.2522388696670532,0.036529142409563065
0.0,500,0.26429882645606995,-0.02961055375635624
0.0,600,0.24613818526268005,-0.02998211421072483
0.0,700,0.23793449997901917,-0.02513870596885681
0.0,800,0.2350998818874359,0.002368495799601078
0.0,900,0.231964573264122,-0.026811175048351288
0.02,0,0.06795390695333481,0.05767546594142914
0.02,100,0.06781765073537827,0.06659060716629028
0.02,200,0.06777825951576233,0.057024963200092316
0.02,300,0.06856399029493332,0.07143668830394745
0.02,400,0.0903969556093216,0.014730551280081272
0.02,500,0.09312530606985092,-0.017829157412052155
0.02,600,0.07462640106678009,0.0003038437571376562
0.02,700,0.06686042994260788,0.015142621472477913
0.02,800,0.06732102483510971,0.013248199597001076
0.02,900,0.060935717076063156,0.027450667694211006
0.04,0,0.05495184287428856,0.06831168383359909
0.04,100,0.055757418274879456,0.06167894974350929
0.04,200,0.053495071828365326,0.09096474945545197
0.04,300,0.05537234991788864,0.08738389611244202
0.04,400,0.07759105414152145,0.015792949125170708
0.04,500,0.07985113561153412,-0.01575644128024578
0.04,600,0.062029849737882614,-0.004741079173982143
0.04,700,0.05458110570907593,0.004861912224441767
0.04,800,0.055850885808467865,-0.013424606062471867
0.04,900,0.048361778259277344,0.023368852213025093
0.06,0,0.04991534352302551,0.086187943816185
0.06,100,0.05061173439025879,0.08106322586536407
0.06,200,0.04975123330950737,0.08527003973722458
0.06,300,0.05086752027273178,0.09602916240692139
0.06,400,0.07086977362632751,0.049029573798179626
0.06,500,0.07375302165746689,0.007291234098374844
0.06,600,0.05797402188181877,-0.009718328714370728
0.06,700,0.049572478979825974,0.020008981227874756
0.06,800,0.0498487651348114,0.021601181477308273
0.06,900,0.04273965209722519,0.05987584590911865
0.08,0,0.06289897859096527,0.055081918835639954
0.08,100,0.0631537064909935,0.058143891394138336
0.08,200,0.06385722756385803,0.035378556698560715
0.08,300,0.06469514966011047,0.05093010514974594
0.08,400,0.08409518003463745,0.02598458155989647
0.08,500,0.08854549378156662,-0.028449028730392456
0.08,600,0.07004516571760178,-0.012412847019731998
0.08,700,0.06375464797019958,-0.026836056262254715
0.08,800,0.06447325646877289,-0.033090122044086456
0.08,900,0.055463992059230804,0.030544325709342957
0.1,0,0.030697356909513474,0.01938202977180481
0.1,100,0.030706297606229782,0.03449896350502968
0.1,200,0.029512818902730942,0.050730280578136444
0.1,300,0.030278367921710014,0.0846080556511879
0.1,400,0.050322555005550385,0.024892479181289673
0.1,500,0.05231621116399765,-0.02608512155711651
0.1,600,0.0353875607252121,-0.03260033577680588
0.1,700,0.02638096734881401,0.037147022783756256
0.1,800,0.028254516422748566,-0.018223825842142105
0.1,900,0.02171999029815197,0.0060641285963356495
0.12,0,0.03539123386144638,0.033013857901096344
0.12,100,0.0355326309800148,0.04182181879878044
0.12,200,0.0343039333820343,0.056561119854450226
0.12,300,0.035677529871463776,0.06816113740205765
0.12,400,0.055337876081466675,0.026381803676486015
0.12,500,0.05686984956264496,-0.007218727841973305
0.12,600,0.04072879999876022,-0.027948129922151566
0.12,700,0.03174251317977905,0.02937968820333481
0.12,800,0.03325255587697029,-0.005726993083953857
0.12,900,0.026202406734228134,0.03678750991821289
0.14,0,0.056712549179792404,0.04590989649295807
0.14,100,0.057446759194135666,0.04086264967918396
0.14,200,0.05569259449839592,0.06034962832927704
0.14,300,0.0566876158118248,0.07344868779182434
0.14,400,0.0756072923541069,0.0475226566195488
0.14,500,0.07990686595439911,-0.00948815792798996
0.14,600,0.06305815279483795,-0.012830597348511219
0.14,700,0.053969837725162506,0.028129303827881813
0.14,800,0.05610423535108566,-0.007548373192548752
0.14,900,0.04836476966738701,0.03685293346643448
0.16,0,0.04135746881365776,0.03797987103462219
0.16,100,0.042016446590423584,0.033431604504585266
0.16,200,0.040131159126758575,0.061449065804481506
0.16,300,0.042045727372169495,0.05861617624759674
0.16,400,0.06132083758711815,0.029101770371198654
0.16,500,0.06388940662145615,-0.016614535823464394
0.16,600,0.04849915951490402,-0.05406638979911804
0.16,700,0.03844311460852623,0.01680111140012741
0.16,800,0.039494436234235764,-0.0012436113320291042
0.16,900,0.03295845538377762,0.019228272140026093
0.18,0,0.05198138579726219,0.042860060930252075
0.18,100,0.052344322204589844,0.04460688680410385
0.18,200,0.051230110228061676,0.053056683391332626
0.18,300,0.0528172068297863,0.05666347220540047
0.18,400,0.07163354009389877,0.036259524524211884
0.18,500,0.07593987137079239,-0.02486630529165268
0.18,600,0.05738203972578049,-0.002609747927635908
0.18,700,0.049890607595443726,0.009013118222355843
0.18,800,0.052452754229307175,-0.03803975135087967
0.18,900,0.043239377439022064,0.041309889405965805
0.2,0,0.033693648874759674,0.05317078158259392
0.2,100,0.03418121859431267,0.052371665835380554
0.2,200,0.03279722109436989,0.07214459776878357
0.2,300,0.03543228656053543,0.04933438077569008
0.2,400,0.054452426731586456,0.024564214050769806
0.2,500,0.056742168962955475,-0.025056952610611916
0.2,600,0.038412753492593765,0.005196220241487026
0.2,700,0.03245755657553673,-0.024468906223773956
0.2,800,0.031346481293439865,0.02179384045302868
0.2,900,0.025433287024497986,0.028054993599653244
0.22,0,0.05288858339190483,0.04885147139430046
0.22,100,0.0537601113319397,0.04097045212984085
0.22,200,0.05122196301817894,0.07635653764009476
0.22,300,0.05355842411518097,0.06515082716941833
0.22,400,0.07340559363365173,0.028885774314403534
0.22,500,0.07639944553375244,-0.013755885884165764
0.22,600,0.05964614078402519,-0.020180435851216316
0.22,700,0.051093198359012604,0.010143021121621132
0.22,800,0.052682749927043915,-0.015708211809396744
0.22,900,0.0462166965007782,-0.004898505751043558
0.24,0,0.02534749172627926,0.01865888386964798
0.24,100,0.025612905621528625,0.027988789603114128
0.24,200,0.024799346923828125,0.032628383487463
0.24,300,0.026095349341630936,0.057659029960632324
0.24,400,0.046227943152189255,-0.010695422068238258
0.24,500,0.045450493693351746,0.0065961554646492004
0.24,600,0.029159611091017723,-0.015009531751275063
0.24,700,0.021503141149878502,0.018291737884283066
0.24,800,0.022541597485542297,-0.015320835635066032
0.24,900,0.01569673977792263,0.03957768529653549
0.26,0,0.04125717654824257,0.07030774652957916
0.26,100,0.04226477071642876,0.05764090269804001
0.26,200,0.040110163390636444,0.09152384102344513
0.26,300,0.04415954649448395,0.04069962725043297
0.26,400,0.06160949915647507,0.045446090400218964
0.26,500,0.06434547901153564,-0.0016301085706800222
0.26,600,0.046563249081373215,0.01725888065993786
0.26,700,0.04017391800880432,0.007063776254653931
0.26,800,0.04139357805252075,-0.014614402316510677
0.26,900,0.03480571508407593,0.00338302506133914
0.28,0,0.04544972628355026,0.05470358207821846
0.28,100,0.04632190987467766,0.04584960639476776
0.28,200,0.045722223818302155,0.04409884661436081
0.28,300,0.046565644443035126,0.0639030784368515
0.28,400,0.06629892438650131,0.027400804683566093
0.28,500,0.06988617032766342,-0.02929079532623291
0.28,600,0.052232518792152405,-0.02323131449520588
0.28,700,0.044198911637067795,-0.0016912035644054413
0.28,800,0.044150467962026596,0.00798158347606659
0.28,900,0.03786928951740265,0.021410569548606873
