epsilon,timestep,mse,cosine_similarity
0.0,0,0.0472080372273922,0.09254308044910431
0.0,100,0.045210763812065125,0.08425585925579071
0.0,200,0.047557078301906586,0.06527405977249146
0.0,300,0.04250352829694748,0.06279250234365463
0.0,400,0.03590887784957886,0.11222989857196808
0.0,500,0.03591245040297508,0.06879913061857224
0.0,600,0.03833777830004692,0.0063138073310256
0.0,700,0.032320477068424225,-0.02420567348599434
0.0,800,0.028405632823705673,-0.014496725983917713
0.0,900,0.025967419147491455,0.002176190260797739
0.02,0,0.03979986906051636,0.10522475838661194
0.02,100,0.037710681557655334,0.09502273052930832
0.02,200,0.03908941149711609,0.09793482720851898
0.02,300,0.0339343324303627,0.09803730994462967
0.02,400,0.029898587614297867,0.07633329927921295
0.02,500,0.028531616553664207,0.06232784688472748
0.02,600,0.029373515397310257,0.03220541775226593
0.02,700,0.023152917623519897,0.002011657692492008
0.02,800,0.02007775567471981,-0.02269044518470764
0.02,900,0.01746712066233158,0.011179261840879917
0.04,0,0.038073137402534485,0.1440322995185852
0.04,100,0.036349572241306305,0.12256798893213272
0.04,200,0.03773549944162369,0.12486323714256287
0.04,300,0.03324560821056366,0.10359932482242584
0.04,400,0.02906523272395134,0.08654314279556274
0.04,500,0.028347967192530632,0.046177782118320465
0.04,600,0.027491865679621696,0.08246801793575287
0.04,700,0.023240676149725914,-0.03385469689965248
0.04,800,0.01965445652604103,-0.036708585917949677
0.04,900,0.016766183078289032,0.014134418219327927
0.06,0,0.03609473630785942,0.13797341287136078
0.06,100,0.03411811217665672,0.11712967604398727
0.06,200,0.03505529463291168,0.14192180335521698
0.06,300,0.03035805933177471,0.11931246519088745
0.06,400,0.025980792939662933,0.10348456352949142
0.06,500,0.025009334087371826,0.060342319309711456
0.06,600,0.02480926737189293,0.07453367114067078
0.06,700,0.01880665123462677,0.02097386121749878
0.06,800,0.0157764982432127,-0.016316121444106102
0.06,900,0.013029131107032299,0.0465724878013134
0.08,0,0.035817570984363556,0.1718849241733551
0.08,100,0.03360400348901749,0.165056511759758
0.08,200,0.035485684871673584,0.14777714014053345
0.08,300,0.030706211924552917,0.133378267288208
0.08,400,0.026012293994426727,0.13718366622924805
0.08,500,0.024425676092505455,0.13139158487319946
0.08,600,0.025270884856581688,0.0920587033033371
0.08,700,0.020277637988328934,-0.010084537789225578
0.08,800,0.017018018290400505,-0.03138833865523338
0.08,900,0.014400934800505638,0.012882690876722336
0.1,0,0.035997625440359116,0.15937522053718567
0.1,100,0.03392083942890167,0.14592745900154114
0.1,200,0.03582786023616791,0.12763971090316772
0.1,300,0.030563179403543472,0.1324041187763214
0.1,400,0.02680591493844986,0.08986539393663406
0.1,500,0.024915343150496483,0.09739623963832855
0.1,600,0.025804532691836357,0.054720439016819
0.1,700,0.019928529858589172,-0.004387300461530685
0.1,800,0.016061462461948395,0.016939768567681313
0.1,900,0.014510441571474075,-0.014324342831969261
0.12,0,0.04365585371851921,-0.15896998345851898
0.12,100,0.04065290838479996,-0.14508000016212463
0.12,200,0.041947584599256516,-0.1314542293548584
