epsilon,timestep,mse,cosine_similarity
0.0,0,0.06368625909090042,-0.011837666854262352
0.0,100,0.05747213959693909,-0.010685819201171398
0.0,200,0.07427187263965607,0.00414474168792367
0.0,300,0.0597030445933342,0.036471545696258545
0.0,400,0.04683852195739746,-0.002525046933442354
0.0,500,0.04694683477282524,0.03987421840429306
0.0,600,0.04763331264257431,0.018691979348659515
0.0,700,0.03758732229471207,0.014561798423528671
0.0,800,0.038879018276929855,0.005600414238870144
0.0,900,0.0301543977111578,-0.007999084889888763
0.02,0,0.0554424524307251,0.02604440599679947
0.02,100,0.04931391775608063,0.028016729280352592
0.02,200,0.06583530455827713,0.049859419465065
0.02,300,0.05282192677259445,0.057227760553359985
0.02,400,0.038941383361816406,0.03691935911774635
0.02,500,0.03995271027088165,0.06669683009386063
0.02,600,0.041318006813526154,0.013241957873106003
0.02,700,0.031132375821471214,0.01029098778963089
0.02,800,0.032244689762592316,0.004595988430082798
0.02,900,0.022988056764006615,0.010040928609669209
0.04,0,0.050473835319280624,0.08793913573026657
0.04,100,0.04431614279747009,0.09573961049318314
0.04,200,0.06166401505470276,0.08952219039201736
0.04,300,0.04887593910098076,0.09155005216598511
0.04,400,0.03556431457400322,0.021916352212429047
0.04,500,0.03702802211046219,0.04797046631574631
0.04,600,0.03720039874315262,0.025128372013568878
0.04,700,0.027021996676921844,0.020048992708325386
0.04,800,0.02826293557882309,0.001617533154785633
0.04,900,0.018787771463394165,0.02764800563454628
0.06,0,0.05242873355746269,0.041376132518053055
0.06,100,0.04652831703424454,0.03503906726837158
0.06,200,0.06355291604995728,0.047744736075401306
0.06,300,0.05024793744087219,0.06671369075775146
0.06,400,0.036626577377319336,0.024543317034840584
0.06,500,0.037720173597335815,0.06209041178226471
0.06,600,0.038784243166446686,0.0029453756287693977
0.06,700,0.028571151196956635,-0.0024105142802000046
0.06,800,0.02885410003364086,0.034566134214401245
0.06,900,0.020397532731294632,-0.004378732293844223
0.08,0,0.05230402946472168,0.02282446250319481
0.08,100,0.04604324698448181,0.030804146081209183
0.08,200,0.063176229596138,0.042072221636772156
0.08,300,0.04946437478065491,0.0797482505440712
0.08,400,0.035691894590854645,0.04158096760511398
0.08,500,0.03740253672003746,0.05154871568083763
0.08,600,0.037971869111061096,0.010797040536999702
0.08,700,0.02775793895125389,0.006264001131057739
0.08,800,0.028772875666618347,0.003588908351957798
0.08,900,0.019571274518966675,0.006980095058679581
0.1,0,0.0561084970831871,-0.008034979924559593
0.1,100,0.0491953119635582,0.016487490385770798
0.1,200,0.06732220947742462,-0.0016774646937847137
0.1,300,0.05248454213142395,0.05422201007604599
0.1,400,0.0390646867454052,0.015247592702507973
0.1,500,0.04069218039512634,0.025361020117998123
0.1,600,0.04155173897743225,-0.012823767960071564
0.1,700,0.03127286955714226,-0.016999797895550728
0.1,800,0.0321972593665123,-0.014716146513819695
0.1,900,0.02258320525288582,0.004482734017074108
0.12,0,0.05017465353012085,0.10452138632535934
0.12,100,0.04456770420074463,0.08543337881565094
0.12,200,0.06070255488157272,0.13272927701473236
0.12,300,0.04837093502283096,0.11830024421215057
0.12,400,0.034504201263189316,0.08788524568080902
0.12,500,0.03682177513837814,0.06348123401403427
0.12,600,0.036612313240766525,0.06273262202739716
0.12,700,0.02713542990386486,0.01778922602534294
0.12,800,0.02783900499343872,0.035155437886714935
0.12,900,0.01871398650109768,0.040134742856025696
0.14,0,0.051792263984680176,0.012748807668685913
0.14,100,0.045688074082136154,0.012667572125792503
0.14,200,0.06289543956518173,0.026364892721176147
0.14,300,0.04966633766889572,0.04300826042890549
0.14,400,0.03525388985872269,0.027334075421094894
0.14,500,0.036958176642656326,0.040226373821496964
0.14,600,0.03706861287355423,0.01969131827354431
0.14,700,0.026821380481123924,0.01798306778073311
0.14,800,0.027522368356585503,0.037039585411548615
0.14,900,0.0188014954328537,0.006328829564154148
0.16,0,0.05149952322244644,0.017097555100917816
0.16,100,0.04537954181432724,0.01817445456981659
0.16,200,0.06307455897331238,0.00781635195016861
0.16,300,0.04931022971868515,0.053010087460279465
0.16,400,0.03535204380750656,0.007181041873991489
0.16,500,0.036604780703783035,0.051041387021541595
0.16,600,0.03696233779191971,0.012949096038937569
0.16,700,0.02678079903125763,0.004502330906689167
0.16,800,0.027878087013959885,-0.005126958712935448
0.16,900,0.018464796245098114,0.016907576471567154
0.18,0,0.05139788240194321,0.019899893552064896
0.18,100,0.04515458270907402,0.02854948490858078
0.18,200,0.06217941641807556,0.050400152802467346
0.18,300,0.04924684017896652,0.054314024746418
0.18,400,0.0345366969704628,0.05913421884179115
0.18,500,0.036974381655454636,0.02358095347881317
0.18,600,0.036571066826581955,0.03546442836523056
0.18,700,0.026265699416399002,0.0408451184630394
0.18,800,0.027655459940433502,0.0076376814395189285
0.18,900,0.01822870969772339,0.03445763885974884
0.2,0,0.05052404850721359,0.07646346092224121
0.2,100,0.04443548619747162,0.07977555692195892
0.2,200,0.061775773763656616,0.07707007229328156
0.2,300,0.04868399351835251,0.09297223389148712
0.2,400,0.034698061645030975,0.05961606651544571
0.2,500,0.03618698567152023,0.08522038161754608
0.2,600,0.036720164120197296,0.03815581649541855
