epsilon,timestep,mse,cosine_similarity
0.0,0,0.058789920061826706,0.01660841330885887
0.0,100,0.05854819342494011,0.016265511512756348
0.0,200,0.058702968060970306,0.004703228361904621
0.0,300,0.053038157522678375,0.032172791659832
0.0,400,0.05512087047100067,0.004365928471088409
0.0,500,0.05269971117377281,-0.0022269049659371376
0.0,600,0.051665134727954865,0.007837288081645966
0.0,700,0.05749979615211487,0.010914437472820282
0.0,800,0.05346876382827759,0.007173638790845871
0.0,900,0.050557009875774384,-0.007735162973403931
0.02,0,0.029053572565317154,-0.0021169427782297134
0.02,100,0.028826948255300522,-0.003641916438937187
0.02,200,0.028248434886336327,-0.0004900041967630386
0.02,300,0.02329273521900177,0.024645786732435226
0.02,400,0.025156039744615555,-0.02286917343735695
0.02,500,0.02176239900290966,0.005122382193803787
0.02,600,0.021526094526052475,-0.011561671271920204
0.02,700,0.027672849595546722,-0.012064533308148384
0.02,800,0.0228035356849432,0.012187087908387184
0.02,900,0.02016785740852356,-0.03337516263127327
0.04,0,0.03169248253107071,-0.006179054733365774
0.04,100,0.031381867825984955,-0.004787608049809933
0.04,200,0.03148869425058365,-0.024937665089964867
0.04,300,0.026627566665410995,-0.009671772830188274
0.04,400,0.02802852913737297,-0.03385544940829277
0.04,500,0.025486692786216736,-0.045379023998975754
0.04,600,0.024477794766426086,-0.028918210417032242
0.04,700,0.030069274827837944,-0.006889265030622482
0.04,800,0.0252077579498291,0.01487287413328886
0.04,900,0.02228803001344204,-0.011968767270445824
0.06,0,0.036424025893211365,-0.017500964924693108
0.06,100,0.03617993742227554,-0.018274204805493355
0.06,200,0.035584330558776855,-0.015591482631862164
0.06,300,0.03131615370512009,-0.02107374370098114
0.06,400,0.03228450194001198,-0.027686264365911484
0.06,500,0.028885943815112114,-0.0073204259388148785
0.06,600,0.027714040130376816,0.013402663171291351
0.06,700,0.034669484943151474,-0.014798440039157867
0.06,800,0.029440507292747498,0.01487533189356327
0.06,900,0.026035357266664505,0.011155856773257256
0.08,0,0.02700253389775753,0.018437132239341736
0.08,100,0.02664954587817192,0.02205977775156498
0.08,200,0.026258911937475204,0.018091239035129547
0.08,300,0.02196907065808773,0.016883602365851402
0.08,400,0.023444335907697678,-0.01708083413541317
0.08,500,0.019859325140714645,0.024082541465759277
0.08,600,0.02001667022705078,-0.014157965779304504
0.08,700,0.02541065774857998,0.017389385029673576
0.08,800,0.02098381333053112,0.026959417387843132
0.08,900,0.01854841038584709,-0.0319862999022007
0.1,0,0.03554067388176918,0.02023562416434288
0.1,100,0.03546251729130745,0.01510628778487444
0.1,200,0.0347137376666069,0.022502416744828224
0.1,300,0.030563456937670708,0.018604330718517303
0.1,400,0.032163504511117935,-0.008706396445631981
0.1,500,0.02912779152393341,0.0007229838520288467
0.1,600,0.028452064841985703,0.0037435635458678007
0.1,700,0.03398865461349487,0.01870511844754219
0.1,800,0.030593615025281906,-0.007897704839706421
0.1,900,0.02691587619483471,-0.0047262804582715034
0.12,0,0.028999503701925278,0.01722584292292595
0.12,100,0.02895165979862213,0.009382283315062523
0.12,200,0.028098657727241516,0.022714097052812576
0.12,300,0.02391359768807888,0.01817140355706215
0.12,400,0.025212615728378296,-0.004946289584040642
0.12,500,0.022011099383234978,0.015473978593945503
0.12,600,0.02185993455350399,-0.00447197025641799
0.12,700,0.028468597680330276,-0.023609057068824768
0.12,800,0.022460956126451492,0.047369685024023056
0.12,900,0.01986686885356903,0.006575307343155146
0.14,0,0.04754539579153061,-0.003687780350446701
