epsilon,timestep,mse,cosine_similarity
0.0,0,0.09939315170049667,-0.08736617863178253
0.0,100,0.09233342111110687,-0.09503313899040222
0.0,200,0.09135337173938751,-0.0853072851896286
0.0,300,0.08502241969108582,-0.04230109974741936
0.0,400,0.07820314913988113,-0.040794141590595245
0.0,500,0.05204647034406662,-0.013105528429150581
0.0,600,0.04565694183111191,-0.02070092409849167
0.0,700,0.048753730952739716,-0.002230808138847351
0.0,800,0.03999270871281624,0.01995360665023327
0.0,900,0.04347126930952072,-0.0038725631311535835
0.02,0,0.06870409101247787,0.09891627728939056
0.02,100,0.06172554939985275,0.09861445426940918
0.02,200,0.061880677938461304,0.09041754901409149
0.02,300,0.060095321387052536,0.06681301444768906
0.02,400,0.055281125009059906,0.02763191983103752
0.02,500,0.03241460770368576,0.0019624875858426094
0.02,600,0.025773730129003525,0.002952219918370247
0.02,700,0.02971411496400833,0.0010308995842933655
0.02,800,0.021200120449066162,0.03150145336985588
0.02,900,0.024706503376364708,-0.013285007327795029
0.04,0,0.06426398456096649,0.20800913870334625
0.04,100,0.058170728385448456,0.1954193413257599
0.04,200,0.05723199248313904,0.21187572181224823
0.04,300,0.057684581726789474,0.14297012984752655
0.04,400,0.053781211376190186,0.08994966745376587
0.04,500,0.03300255537033081,0.021950505673885345
0.04,600,0.02481694519519806,0.08685723692178726
0.04,700,0.031700171530246735,-0.027403980493545532
0.04,800,0.022980883717536926,0.003025543875992298
0.04,900,0.024932757019996643,0.02694367989897728
0.06,0,0.06351391971111298,0.19949445128440857
0.06,100,0.05650778114795685,0.20523378252983093
0.06,200,0.05786750838160515,0.16445395350456238
0.06,300,0.05551064759492874,0.15500454604625702
0.06,400,0.05225905030965805,0.07122621685266495
0.06,500,0.030070003122091293,0.031252771615982056
0.06,600,0.02399693988263607,0.010461810976266861
0.06,700,0.02801578864455223,0.004275467712432146
0.06,800,0.020120946690440178,0.006120155565440655
0.06,900,0.02249687910079956,0.013854719698429108
0.08,0,0.06512866914272308,0.15824735164642334
0.08,100,0.05790744349360466,0.16714102029800415
0.08,200,0.05844767019152641,0.14772799611091614
0.08,300,0.05612192675471306,0.13689042627811432
0.08,400,0.05198984593153,0.07671980559825897
0.08,500,0.030245013535022736,0.020314117893576622
0.08,600,0.023688729852437973,0.02047458477318287
0.08,700,0.027285590767860413,0.03153665363788605
0.08,800,0.019735608249902725,0.021584048867225647
0.08,900,0.022920837625861168,-0.01204611361026764
0.1,0,0.06408113986253738,0.21665877103805542
0.1,100,0.05773191154003143,0.21075695753097534
0.1,200,0.05921505019068718,0.17537617683410645
0.1,300,0.05611485242843628,0.18504655361175537
0.1,400,0.053785040974617004,0.10012616962194443
0.1,500,0.03298621624708176,0.03996634483337402
0.1,600,0.02646910399198532,0.04263162240386009
0.1,700,0.031018679961562157,0.016144979745149612
0.1,800,0.022938337177038193,0.0288045946508646
0.1,900,0.025883421301841736,0.010542327538132668
0.12,0,0.06309361755847931,0.18782490491867065
0.12,100,0.05680469796061516,0.16361431777477264
